NO;LOKASYON;TARİH;KULLANILAN  ARAÇ;BİLGİ; KOOORDİNAT;OSMANLI TOPRAĞI OLAN YERLER;;;;;;;;;;;;;;;;
11;Dutch Flat;28.04.1884;Bisiklet;"Cape Horn’un 10 mil doğusundaki Dutch Flat’a ulaştığımda gökyüzü yeniden açılıyor ve hafızama “su. su. her yerde su” diye kazınan bir yer olarak kalıyor. Yalan söylemenin anlamı yok; burada gerçekten içecek çok şey var. … Yukarıdan sel gibi su boşalıyor. sokaklar küçük dereciklere dönüşüyor. Kanallardan gelen suyun sesi neredeyse müzik gibi. Çevrede büyük borularla taşınan akıntılar. tepelere kadar ulaşıyor. Çünkü Dutch Flat. Kaliforniya’daki en büyük hidrolik maden çalışmalarının merkezlerinden biri. Sel gibi akan sular. kanallardan alınıp birkaç mil boyunca tahta su yolları ve demir borularla taşınıyor. Sonra da hortumlarla tepelere sıkılıyor. Yağmur başladığı gibi aniden kesiliyor ve ben tekrar yola devam ediyorum.";39.20596039797249,-120.83781127553902;-;;;;;;;;;;;;;;;;
12;Truckee;30.04.1884;Yaya;"Sierra Dağları’nın doğu eteklerindeyim. Truckee Nehri boyunca ilerliyor. Nevada sınırını geçerek yoluma devam ediyorum. Yol dar. sert. tünellerle ve karanlık geçitlerle dolu. Yüzey kaygan. zeminde dumanlar yükseliyor. Tünel çıkışlarında trenin sesi yankılanıyor; önümde beliren her gölge ya da duman. içgüdüsel bir dikkatle karşılanıyor. Donner Lake’in manzarasıyla karşılaştığımda. içimdeki yorgunluk bir anlığına dağılmış gibi oluyor. “Sierra’ların mücevheri” olarak anılan gölü seyretmek için bir çam ağacına tırmanıyorum. Göl kenarında kamp yapmış bir grup göçmenle karşılaşıyorum. Görünüşe göre bu kişiler. baharda bastıran karlar nedeniyle mahsur kalmışlar. … Truckee kasabasına ulaşıyorum. Dağların yamaçlarında kurulmuş. küçük ama canlı bir yerleşim. Nehir kenarında bulunan kasabada. insanların günlük yaşamları doğanın zor koşullarıyla iç içe geçmiş durumda. Truckee’den sonra Verdi’ye doğru ilerliyorum.";39.32796051982436,-120.18325045039444;-;;;;;;;;;;;;;;;;
13;Verdi;30.04.1884;Bisiklet;Nevada sınırının birkaç mil ötesindeki bir istasyon olan Verdi’ye ulaşmadan önce iyi bir yol bulup bisikletime biniyorum ve sanki Fresco’dan beri bütün yolu hiç inmeden gelmişim gibi bir soğukkanlılıkla küçük otelin kapısında iniyorum. Verdi’de. bir araya toplanmış büyük bir merakla bisikletimi inceleyerek Digger yerlilerinden üstün olduklarını gösteren Washoe yerlilerine rastlıyorum. Verdi ile Sierra dağlarının zirvesi arasındaki mesafe 40 milden daha az ve otelin verandasından hâlen şiddetle devam ettiğini görebiliyorum. Ama çoktan daha kuru ve tamamıyla değişik bir iklimin içinde olduğum anlaşılıyor. Hediye­lerle uzak ülkelere giden barış elçileri gibi. nem yükleriyle kıyıdan içeri­lere doğru giden büyük bulut kütleleri. yolları üzerinde gökyüzüne doğru yükselen dağ engelini aşamadıklarından değerli yüklerini dağlarda boşaltıyor ve kavrulan Nevada ovaları da susayan ağızlarını boşuna açmış oluyor. Verdi’de Golden State’e hoşça kal deyip pırıldayan Truckee nehri boyunca Forty-mile çölüne giden yolu takip ediyorum.;39.521544926545076,-120.00786410573983;-;;;;;;;;;;;;;;;;
14;Reno;01.05.1884;Bisiklet;"Sabah 10:30' da Reno'ya girdiğinde Uzak Batı'nın misafirperverliği kendini bir kez daha gösteriyor ve sportif birisi yanında bir iki gün kalıp masraflarını kendisi karşıladığı "" Reno' yu kırmızıya boyamada""  yardım etmem için beni davet ediyor. Reno' dan ayrılınca yolum. Viriginia şehir pazarı için ürün yetiştirerek çok fazla para kazanaılan verimli tarım arazilreri durumundaki ünlü Truckee çayırlarından geçiyor.";39.529920475568034,-119.81426990334245;-;;;;;;;;;;;;;;;;
15;Humboldt Vadisi;04.05.1884;Bisiklet;Forty-mile çölünden sonra yolum Humboldt nehri vadisine düşüyor. Nehrin kıyılarında bir düzine kadar Piute evi var ve yarım saatliğine onları ziyaret ediyorum. …ama bisikletimle sage-brushların arasında onlara doğru güçlükle ilerlerken herhangi bir memnuniyet ya da memnuniyetsizlik belirtisi göstermiyorlar. Bugünün soylu Piute’si yola gelmez bir dilencidir. 4 Mayıs Pazar. Humboldt nehri üzerindeki Lovelocks köyünde kaldığım dikkate değer bir gündü. Lovelocks istasyonunun arkasında beni görmek için toplanan kadar karışık ve hayatlarında hiç bisiklet görmemiş bir kalabalık daha önce toplanmamıştı. Burada. Lovelocks’da. medeni kıyafetlerin karıştığı. gökkuşağı renklerinin birbiriyle harmanlandığı giysileriyle profesyonel polo oyuncularının çevikliğini aratmadan saha içinde oradan oraya koşturuyor. Humboldt vadisinden yukarı. düz alkali zeminde bisikletimi sürerek veya derin kumda köle gibi taşıyarak ilerliyorum.;40.73916863741848,-124.22789056967723;-;;;;;;;;;;;;;;;;
16;Battle Mountain;07.05.1884;Bisiklet;20 mil ilerideki Battle Mountain’a (Savaş Dağı) doğru gidiyorum. Ay yükselmiş ve son dördünde. Yatakhaneden çıkarken beni karşılayandan daha güzel bir görüntü düşünmek pek mümkün değil. Bu kuru ve yüksek bölgenin açık havasında izlenen muhteşem ay ışığının ne anlama geldiğini. sadece dağların arasındaki bu bölgede bulunmuş olanlar anlayabilir. Ortalık neredeyse gündüz kadar aydınlık ve yolun bazı kısımları kolaylıkla görülebiliyor. Solgun ay ışığı tüm vadiyi yumuşak. gümüşî bir ışıkla doldururken karlı dağların tepeleri hayalet gibi bembeyaz renkte beliriyor.;41.07265214791879,-122.87167089408045;-;;;;;;;;;;;;;;;;
17;Beowawe;07.05.1884;Bisiklet;Be-o-wa-we yerleşim yerinden sürüklenip kıyıya yerleşmiş bir çift eski çit direği fark ediyorum. […] Be-o-wa-we bahar toplanması için hazırlanan birçok kovboyla dolu. Beyazlar. Kızılderililer ve Meksikalılar rengârenk bir kalabalık oluşturuyor. Sırtlarındaki ayı postları. yarı medeni koşu takımlarıyla köyün içinde ve etrafında oradan oraya dört nala koşarken vahşi bir gruba benziyorlar. Bir günlüğüne durup biraz eğlenme davetine. ‘hiç vaktim yok. yoksa kalırdım’ gibi bir yalan söylüyorum. Şimdi her şeyin ötesinde bir bisiklet. özel ve dikkat çekici bir nesne olarak. özellikle de üzerinde bir adam varken bir kovboyun ilgi alanına zorla da olsa giriyor. Dostluk işareti olarak karşılıklı gülümseştikten ve bisikletin nasıl işlediğini gösterdikten sonra vadiden yukarı doğru yoluma devam etmeyi akıllıca buluyorum.;40.592700599990074,-116.47730215073288;-;;;;;;;;;;;;;;;;
18;Carlin;07.05.1884;Bisiklet;Carlin’e giden yolda kanyondan çıkmadan önce karanlık çöküyor. Daha ilerilerde boğaz genişliyor ve sık çalılıklar yol ile nehrin arasına giriyor. Çalıların arasından. benim yolumun üzerinde birbirinin emsali minyatür iki aya benzer. fosfor gibi ışıldayan iki yuvarlak top görüyorum. … Carlin’e ulaştığımda geç olsa da “çocukların” bisiklete nasıl binildiğini görmeleri gerekiyordu ve başka uygun bir yer olmadığından otelin havuzu çevresinde birkaç tur atmayı başarıyorum. … Nevada’nın bu kısmında ufak sürüşler yapmak mümkün ve kendi üzerime ısrarla yüklediğim günlük 40 mili tamamlamak için bazen erken saatlerde yola çıkıyorum. … Genel olarak Humboldt Dağları adıyla Nevada’nın bu bölgesini yeniden çaprazlama geçen birçok dağ sırasında başka bir yarık olan “Five Mile Canyon”daki demir yolunu takip ederken. güneşin doğuşu kadar sıkı bir şekilde saatimi ayarlayarak karşılaşıyorum. … Gözlerime kum ile çakıl fırlatıyor. … Böylece ben de üzerlerinde bir kartuş israf edecek değilim. … Akşam yemeğini yediğim Elko’da. tanıdığım Alkali Bill lakaplı biriyle tanıştım.;40.71380894368432,-116.10396032236295;-;;;;;;;;;;;;;;;;
19;Wells;08.05.1884;Bisiklet;"Wells. ismini kasaba yakınındaki bir grup tuhaf kaynaktan alıyor. Şu an sönmüş volkanlar oldukları sanılıyor. ancak raporlara göre tabanı incelemeye yetecek uzunlukta sondaj borusu bulunamamış.
Bir gün zavallı. hiçbir şeyden şüphelenmeyen bir acemi bu sevilen kaynaklardan birine meraksızca bakarken. volkan yeniden faaliyete geçebilir ve suyu buhara çevirip adamı gökyüzüne fırlatabilir.
Volkanlar milyonlarca yıldan beri suyla dolu olabilir ancak sırf bu yüzden güvenmemek gerekir. Bu günlerden birinde sakin bir vatandaşı şaşkınlığa uğratacakları konusunda onlara güvenmek gerekir.
Buradaki her şey şaşırtıyor. Çöle bakıyorsun ve karşıda akan su ile sallanan ağaçlar görüyorsun. ama dilin sarkmış ve kademeden öncesinde neredeyse belirlenmiş bir halde ulaşacağını düşündüğün kum ve kayalardan başka bir şey bulamayıp şaşırıyorsun.
Ağaçlar ve kuş yumurtaları bulma umuduyla bir dağa tırmandığında yüksek su izleri ve deniz kabukları bulup hayrete düşüyorsun.
En sonunda aynaya bakıyor ve rüzgarla birlikte güneşe maruz kalmanın hassas. sarışın tenini kendi annenin bile tanıyamayacağı biçimde yan etmiştir bir renge çevirdiğini görüp şok oluyorsun.";41.11158719673087,-114.96449053156003;-;;;;;;;;;;;;;;;;
20;Tacoma Köyü;09.05.1884;Bisiklet;"Utah sınırı yakınındaki Tacoma köyüne ulaşıyorum. Bu köyün üzerinde dolaşıp duran bir çeşit korkunç bela var. Bunu havasında bile hissedebiliyorsunuz. Barın müdavimleri yorgun ve üzgün bir şekilde oturuyor. Konuştukları zaman ise sadece Utah ve Wyoming sınırlarında karşılaşacağım zorlukları tahmin etmek için konuşuyorlar. Bir tanesi. “Salt Lake (Tuz Gölü) çamurunun siyah titrer sinekleri seni iyice ısırır.” diye kabaca konuşuyor. Bir başkası. “Bear River (Ayı Nehri) Weber kanyonu yolunda sele yol açmış.” diye kükürüyor.
“Yapabileceğin en kolay şey yabancı. nehirden karşıya geçmek ve buradan kurtulmak.” diyor bir üçüncüsü…
Kısık bir tonla “buraya” karşı olan bezginliğini ifade ederken… Tacoma köyünü kastediyor…
Köyde viski bitmiş. Evet. köyde viski kalmamış. Bu durumun bardaki insanlar üzerinde öylesine can sıkıcı bir etkisi var ki ben de daha fazla kalmadan. rüyalarımda Utah’ın yolumun üzerindeki geçit vermeyen çölleri ve güzel meyve bahçelerinin ilginç karışımını görmek için kendi odama çekiliyorum.";47.25513774470041,-122.44199503099563;-;;;;;;;;;;;;;;;;
21;Büyük Amerikan Çölü;10.05.1884;Bisiklet;"Yarın sabah kuzey sınırından geçeceğim Utah’taki “Büyük Amerikan Çölü” korkunç görünümlü bir bölge. Yolun solunda alçak. çıplak tepeler dizisi; sağında ise insan gözünün ilerilerde daha hareketli bir bölge keşfetme umutlarını yükseltecek yeşil bir nesne bulma gayretiyle boşuna taradığı itici bir düzlük bulunuyor. Tüm bunların üzerinde hem hava hem de bitki yaşamının bulunmadığı ölü bir coğrafyadaki boğucu sessizlik hâkim. Devasa çölün üzerinde dumanlı bir pus tabakası var. Bu pusun içinden. 38 mil ötedeki Pilot Peak’in (Pilot Zirvesi) deniz seviyesinden 750 metre yüksekte bulunan koni biçimli başı yükseliyor. Bu sıkıcı bölgede belli aralıklarla bisiklete binmek mümkün. ancak devamlı olarak binilebilecek kısım yok. Bisiklet binmeye iten esas güdü ise o kadar çok zorunlu yürüyüşten sonraki bıkkınlık hissi. Çöldeki fark edilen bir özellik de kuru ve tuzlu havanın insan üzerinde yarattığı bastırılamaz susuzluk. Salt Lake (Tuz Gölü) çamurunun sıyah titrer sinekleri seni iyice ısırır… Bear River (Ayı Nehri) Weber kanyonuna kadar girmiş… “Yapabileceğin en kolay şey yabancı. nehirden karşıya geçmek ve buradan kurtulmak.”… “Buraya” kelimesiyle Tacoma köyünü kastediyor… Utah’ın yolumun üzerindeki geçit vermeyen çölleri ve güzel meyve bahçelerinin ilginç karışımını görmek için kendi odama çekiliyorum.";40.51298835071,-114.7977497289291;-;;;;;;;;;;;;;;;;
22;Monument Station ;10.05.1884;Bisiklet;Öğleden sonra saat 6’da Monument Station yakınındaki tuz işletmelerine ulaşınca kalacak yer arıyorum. Bir yerde kolaylıkla kabul ediliyorum. Burada göldeki suyu sığ haznelere pompalayan bir yel değirmeni dikilmiş. Haznelerdeki su buharlaşınca tabanında işlenmemiş bir tuz tabakası kalıyor. Bu insanlar alışık olmayan birinin hoşuna gitmeyecek şekilde hafif tuzlu ve yetersiz olan. ancak söylediklerine göre alışkanlıktan dolayı tatlı sudan daha makbul hale gelen bu suyu içiyor. Bu yer bazı böcek yaşam formlarının verimli üremesi açısından hiçbir zaman bulunmadığım kadar sağlıklı ve uygun bir yer ve hayatımın en hareketli gecesini burada geçiriyorum. Buradakiler bana kendime ait bir yatağım olacağını açıkça söylediler. ancak başımı yastığa koyar koymaz bana yaptıkları korkunç şakayı anladım. Yatak dışarı atılmaya ve aşırı kalabalığa karşı çıkan misafirlerle çoktan dolmuştu. Hepsi de şakacı ve oyunbazdı. Kendi sonlarını daha katı önlemlere başvurmak yerine vahşi oyunlar oynayarak getirmeye heveslilerdi. …Böylece sabah bu ilginç deneyimden uyandığımda canlanma haricinde her şeyi hissediyorum.;51.51100115114308,-0.08652838919513492;-;;;;;;;;;;;;;;;;
23;Promontory Dağları'nın Kuzey Burnu;11.05.1884;Bisiklet;Birkaç mil daha gölün kıyılarını takip ederken yolum Promontory Dağları’nın kuzey burnuna yöneliyor. Bu tepelerde Utah’taki en iyi sürüş keyfini sağlayan birkaç millik sert çakıllı karşılaşıyorum. Karanlık. tehlikeli bulutlar toplanmaya başladığından mümkün olduğunca hızlı hareket ediyorum. Fakat sırtın zirvesine ulaşmadan önce tepelerde korkunç bir fırtına başlıyor ve yukarıda değil de yanımda gibi görünen şimşek ve yıldırımlarla gerçekten arkadaş gibi ediniyormuş gibi görünüyorum. Parlak ışıklar ve keskin gök gürültüsüyle irkilip darmadağınık kaçmaya çalışan bir grup yabani at dağdaki patikadan aşağı hızla iniyor ve o karmaşada zemin tehlikesi atlatıyorum. (…) Aniden sola dönüp aşağıdaki düzlüklerde giden inişli çıkışlı yoldaki çılgın kaçışlarına devam ediyorlar. Yağmurun ordu gibi ovaya ve göle yağıyor. Zirveye ulaştığımda göle ve çevredeki bölgeye bakmak için bir fırsat arıyorum. Nitekim de ondan daha şanslı bir fırsat bulunamazdı. Fırtına dinmiş ve aşağılardan muhteşem bir gökkuşağı ovayı kaplıyor. rengarenk güzelliğinin bir ucu gölün gök mavisi sularına dalıyor. (…) Bu dağların hakim zirvesinde durup önünde harika bir tablo gibi uzanan mavi su ve engebeli dağların ihtişamlı panoramasında gözlerine ziyafet çeken yeni gelmiş Mormonun zihnini… bu iç deniz aklına gelecektir.;41.416608064598506,-112.47773618056128;-;;;;;;;;;;;;;;;;
24;Bear Nehri, Corinne ;12.05.1884;Bisiklet;Ertesi sabah Bear nehrindeki Corinne’e ulaştığımda sakallı. yaşlı bir Mormon yanıma gelip geçit töreni yapmamı ve insanların ahlâk düzeyini yükseltmek için kasabanın etrafında bisikletle binmemi istiyor. Babacan bir yalnızlıkla insanların kaderleri ve mutluluklarına yön verdiği belli olan bu adamın Corinne halkı adına yaptığı etkili ve güzel söylemde. “Elbette bisikletin ne olduğunu gördükleri ve bu anı izlemeleri. anlamaları gereken önemli bir devrimdir ve bu onların içeri girerek deneyimlemesi gerekir.” dedi. Bu sabah Corinne sokakları yaşlı adama istemeyerek hayır demek zorunda kalıyorum. Aynı zamanda buralardan geçtiğim bir sonraki seferde eğer sokaklar daha canlı ve iyi durumda olursa. insanların bisikleti hareket ederken görmelerini sağlayarak mutlu olmalarını fikrini destekleyeceğime dair söz veriyorum.;41.6372363133417,-112.12797388263911;-;;;;;;;;;;;;;;;;
25;Weber Nehri;12.05.1884;Bisiklet;Ogden’den doğuya doğru 12 millik bisikletli ve yaya yolculuk sonunda içinden Weber nehri. Güney Pasifik Demiryolu ve bilinmeyen başka bir tren yolunun Wahsatch dağlarından Wyoming sınırlarındaki yüksek platolara doğru yol aldığı Weber kanyonunun girişine ulaşıyorum. Yolculuğun bu kısmında ilgi çeken mesele neler kısa aralıklarla birbirini takip ediyor ve ben de onları incelemek için bolca vakit buluyorum. çünkü Weber kanyonda sel gibi akıyor ve pek çok yerde hattın kenarından geçtiği dar alanı aşıp götürmüş…Weber nehri karşı koyulmaz bir akıntıyla 50 mill boyunda yanında. dik dağların koyu gölgelerini taşımasından sonra dağda doğurup yaptığı gürültülü yürüyüşün karmasından sonunda kaçtığının farkındaymış gibi normal bir hıza kavuştuğu daha aşağıdaki ovaya doğru gidiyor… Bu nokta “Şeytanın Kapısı” gibi uygun bir isimle tanınıyor… Yukarıdaki duvarlardan kopup akıntı yatağına şiddetli bir şekilde düşen kocaman ve sivri uçlu bir grup karmakarışık kaya tarafından engelleniyor… Çılgın sular sürekli artan öfkeyle soğukkanlı bir düşmandan diğerine saldırıyor…;41.22356153935822,-112.12686469483636;-;;;;;;;;;;;;;;;;
26;Castle Rocks;13.05.1884;Bisiklet;14 mil sonra. bu noktada kanyonun sol tarafını oluşturan yüksek kumtaşı kayalarının “Castle Rocks” (Kale Kayaları) olarak adlandırıldığı yere geliyorum. Bu kayalar doğal koşullar tarafından eski zamanlara ait kalelerin irili ufaklı kulelerini anımsatacak biçimde her çeşit akıl almaz şekle öylesine canlı yontulmuştur ki hayali tamamlamak için eksik olan tek şey eski şövalye zamanlarının görkem ve koşullarıdır. Yine de doğanın bu şaheserlerine hayranlıkla bakarken. insan eliyle inşa edilmiş en büyük ve ihtişamlı feodal kaleler veya surların bile bunların yanında çocuk oyuncağı…;43.32823647833695,-115.31452608715917;-;;;;;;;;;;;;;;;;
27;Hilliard;14.05.1884;Bisiklet;…karanlık çöktükten sonra Hilliard’a ulaşıyorum. Hilliard sakinleri biraz “seyrek”. ama iyi insanlar. Vakit geç olmasına rağmen kaldığım evin sahibi bana yemek hazırlamaya başlıyor ve “oğlanlar” gece onlarla uyumam için beni bir davette bulunuyor. Hilliard’da uzun bir ‘V’ şeklinde. 30 mil uzunluğa sahip. içinden telgraf direkleri. demiryolu traversi ve eğitilmiş onların Uintah dağlarındaki ormanlarından güneye açıkça görülebilen demiryolu ve su yüzeyindeki gölgeleri gibi bir kanal var.;40.03339465309473,-83.1582411187723;-;;;;;;;;;;;;;;;;
